Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.2,0.001,32,60,1,100,leaky_relu,0.381821326,5,0.602180364
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.3,0.001,32,60,1,50,leaky_relu,0.406717736,17.91666667,0.564716234
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,3,0.4,0.0005,64,60,1,50,relu,0.676741835,29.58333333,0.54100019
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,3,0.4,0.0001,64,60,1,50,leaky_relu,0.673059623,27.08333333,0.735534483
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,3,0.5,0.0005,64,60,1,150,relu,0.727278574,34.16666667,0.957734851
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.2,0.0001,32,60,1,150,relu,0.830314623,33.33333333,0.774023474
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,32,60,1,100,relu,0.817690126,33.75,0.585494031
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,32,60,1,100,relu,0.801345832,29.58333333,0.535547374
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.0001,32,60,1,100,relu,0.64187084,25.41666667,0.535957448
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,32,60,1,100,relu,0.821684328,22.5,0.800347022
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.0001,32,60,1,150,relu,0.809630635,27.08333333,0.715288056
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.3,0.0001,32,60,1,100,relu,0.81600307,25.83333333,0.591982763
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.2,0.0001,32,60,1,150,relu,0.794443134,26.66666667,0.68993194
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,32,60,1,100,relu,0.746969159,23.33333333,0.778017064
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.0001,32,60,1,150,relu,0.928004425,56.25,0.789627827
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.3,0.0005,32,60,1,150,relu,0.798656029,19.16666667,0.71117876
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.4,0.0001,32,60,1,150,relu,0.754004543,28.33333333,0.586103676
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.5,0.0001,32,60,1,150,relu,0.802388348,28.75,0.554774172
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.0001,32,60,1,150,relu,0.841406288,33.33333333,0.759394738
