Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.0001,32,60,30,50,0.233346524,16.87763713,0.803625293
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.0005,64,60,30,150,0.327880251,17.72151899,1.093662229
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.0001,64,60,30,50,0.226593874,16.03375527,1.180009791
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,100,0.338983609,23.20675105,0.765909626
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.0005,32,60,30,50,-0.350395905,13.08016878,0.563105077
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,64,60,30,150,0.321798473,22.3628692,1.401748257
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.0001,64,60,30,50,-0.359152985,22.3628692,1.493406064
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,100,0.316170266,20.67510549,1.124010687
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.0001,32,60,30,100,0.265293107,18.56540084,1.239940629
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,100,0.318288781,17.72151899,0.885562978
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.0001,32,60,30,100,0.347868521,20.25316456,0.818605006
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.4,0.001,16,60,1,50,0.87666912,28.75,0.70336155
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,16,60,1,150,0.863863951,23.75,0.767900789
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.2,0.0001,16,60,1,50,0.577883066,17.91666667,0.773906253
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.2,0.001,32,60,1,50,0.876187027,35.41666667,0.550613815
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.3,0.0005,64,60,1,150,0.951999569,69.16666667,0.474706726
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.4,0.0001,16,60,1,50,0.699547222,25,0.629425756
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.3,0.001,16,60,1,50,0.822286398,17.5,0.603951043
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.0001,32,60,1,150,0.943647764,62.91666667,0.685402239
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.2,0.0001,32,60,1,100,0.696480015,32.91666667,0.706606362
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.6,0.0005,64,60,1,50,0.794898059,37.91666667,0.690208182
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.8,0.0005,64,60,1,150,0.929522872,61.25,0.453730967
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0005,32,60,1,150,0.885728689,30.83333333,0.596126768
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.0001,64,60,1,150,0.821356254,32.5,0.848818015
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.7,0.0005,64,60,1,150,0.893318329,53.75,0.866044138
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.0001,32,60,1,100,0.820782525,40,0.468169402
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.0005,64,60,1,150,0.928220954,50.41666667,0.579959641
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.0005,32,60,1,150,0.940239854,60.41666667,0.608380642
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.0001,32,60,1,150,0.82800444,36.66666667,0.849594723
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.8,0.0005,64,60,1,100,0.923827621,57.91666667,0.47844004
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.4,0.0001,32,60,1,150,0.879541243,47.5,0.908678998
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0005,64,60,1,150,0.948281968,66.66666667,0.42636974
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0005,64,60,1,150,0.954805347,66.66666667,0.575298728
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0005,64,60,1,150,0.953355652,66.66666667,0.432966173
23,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0005,64,60,1,150,0.955451554,66.66666667,0.561827563
24,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.0005,64,60,1,150,0.952650739,67.08333333,0.573598343
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.8,0.0001,16,60,30,100,-0.293391323,11.81434599,0.812269201
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.0005,64,60,30,150,0.18459037,15.61181435,0.723203034
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.2,0.0001,64,60,30,100,0.309274682,17.72151899,1.345231833
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,64,60,30,100,0.360412162,17.29957806,1.013027498
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.2,0.0005,16,60,30,100,-0.480614219,12.23628692,0.782722928
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.001,64,60,30,50,0.414031244,17.29957806,1.408363612
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.7,0.001,32,60,30,150,-0.934888996,6.751054852,0.82700699
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.0001,64,60,30,150,0.295796593,24.47257384,0.962439548
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.8,0.0005,16,60,30,100,-0.58727606,12.65822785,0.7787807
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.0005,64,60,30,100,0.251599152,16.4556962,0.781201428
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.5,0.001,32,60,30,50,-0.594159369,18.56540084,0.779607395
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.3,0.001,64,60,30,50,0.39009094,22.3628692,1.049267001
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.4,0.001,64,60,30,50,0.431141456,22.78481013,1.744490188
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.4,0.001,64,60,30,50,0.395113928,22.3628692,1.031357133
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.001,64,60,30,50,0.416698221,17.29957806,1.522192567
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,32,60,30,50,-1.001076766,5.063291139,1.320542504
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.5,0.001,64,60,30,50,0.384250357,21.09704641,1.12064202
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.4,0.001,64,60,30,50,0.332341965,16.87763713,1.028266149
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,0.6,0.001,32,60,30,50,0.20599774,13.08016878,0.897015815
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.7,0.0001,16,60,30,50,0.371419168,18.14345992,0.927006743
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.3,0.001,64,60,30,50,0.299488237,17.29957806,0.937128992
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.7,0.001,64,60,30,50,0.420830819,16.4556962,1.379859684
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.6,0.001,64,60,30,50,0.187468765,12.65822785,0.965966324
