Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.001,64,60,1,100,relu,0.865283887,57.08333333,1.052740546
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,2,0.2,0.0005,32,60,1,50,leaky_relu,0.696510896,26.25,0.646392846
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,3,0.4,0.0005,32,60,1,150,relu,0.833624997,52.08333333,1.306265615
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.4,0.0001,32,60,1,100,leaky_relu,0.846489063,56.25,0.960097464
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,3,0.3,0.0005,64,60,1,150,leaky_relu,0.646936017,26.66666667,0.588308307
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.2,0.0001,32,60,1,150,relu,0.821031132,46.25,0.745342208
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.5,0.001,64,60,1,100,relu,0.849688495,50,1.030751629
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,3,0.4,0.001,64,60,1,100,relu,0.594022733,19.16666667,1.139733886
12,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.4,0.001,64,60,1,100,relu,0.873524237,56.25,0.990099158
13,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.5,0.001,64,60,1,100,relu,0.858442018,55,1.251820729
14,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.3,0.001,64,60,1,100,relu,-0.124751407,1.25,0.514114221
15,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.4,0.001,64,60,1,100,relu,0.505845662,16.66666667,0.534306118
16,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.3,0.0001,64,60,1,100,relu,0.399044507,22.5,0.621597914
17,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,2,0.5,0.001,64,60,1,50,relu,0.539692895,30,0.810859761
18,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.4,0.001,64,60,1,100,relu,0.448980237,11.25,0.59373697
19,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,3,0.3,0.0001,64,60,1,100,relu,0.807411267,45.41666667,0.833795934
20,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.5,0.001,64,60,1,50,relu,0.863972419,57.08333333,1.312258482
21,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.5,0.001,64,60,1,50,relu,0.811205081,45.41666667,0.807410515
22,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,2,0.5,0.001,64,60,1,50,relu,0.697268424,32.08333333,0.995365999
