Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy
JPM,"20MA, 200MA, RSI, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,12.6138853,5.293335159,0.894458232,53.82550336
JPM,"20MA, 200MA, RSI, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,24.35159166,10.00112565,0.606648042,28.99328859
JPM,"20MA, 200MA, RSI, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,17.34950524,7.715486328,0.800335525,35.43624161
JPM,"20MA, 200MA, RSI, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,13.73865333,5.906789275,0.874796941,51.81208054
JPM,"20MA, 200MA, RSI, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,16.62712982,8.236397688,0.816616108,25.36912752
JPM,"20MA, 200MA, RSI, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,22.73297773,9.7317731,0.657201223,28.05369128
JPM,"20MA, 200MA, RSI, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,8.276051753,3.803473412,0.954566833,71.67785235
JPM,"20MA, 200MA, RSI, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,26.42857282,11.63795624,0.536687483,21.87919463
JPM,"20MA, 200MA, RSI, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,7.930699576,3.874321272,0.95827949,68.32214765
JPM,"20MA, 200MA, RSI, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,20.76773562,9.305695503,0.713908534,31.81208054
JPM,"20MA, 200MA, RSI, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,11.7878345,6.244488529,0.907828921,41.87919463
